mutation,label,avg,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming
mutation_62,passing,0.996230,1.000000,0.990741,0.987805,0.987805,0.962025,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_63,passing,0.977006,0.866071,0.875000,0.963855,0.939759,0.950000,0.968421,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_64,failing,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_65,passing,0.996230,1.000000,0.990741,0.987805,0.987805,0.962025,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_66,passing,0.440217,0.598131,0.435185,0.487805,0.475610,0.481013,0.387097,0.419753,0.419753,0.420455,0.421488,0.407080,0.436975,0.428571,0.428571,0.428571,0.422018,0.422018,0.422018,0.422018
mutation_67,passing,0.978580,1.000000,0.962963,0.951220,0.951220,0.949367,0.978495,0.987654,0.987654,0.988636,0.991736,0.991150,0.991597,0.990476,0.990476,0.990476,0.972477,0.972477,0.972477,0.972477
mutation_68,failing,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_69,passing,0.189239,0.364486,0.203704,0.231707,0.207317,0.139241,0.139785,0.172840,0.172840,0.193182,0.198347,0.212389,0.184874,0.171429,0.171429,0.171429,0.165138,0.165138,0.165138,0.165138
mutation_70,passing,0.734495,0.962617,0.962963,0.951220,0.903614,0.898734,0.892473,0.604938,0.604938,0.602273,0.619835,0.646018,0.655462,0.657143,0.657143,0.657143,0.669725,0.669725,0.669725,0.669725
mutation_72,failing,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_73,passing,0.723203,0.953271,0.944444,0.926829,0.891566,0.886076,0.881720,0.592593,0.592593,0.590909,0.611570,0.637168,0.647059,0.647619,0.647619,0.647619,0.660550,0.660550,0.660550,0.660550
mutation_75,passing,0.996230,1.000000,0.990741,0.987805,0.987805,0.962025,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_76,failing,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_78,failing,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_79,failing,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_82,failing,0.649985,0.738318,0.740741,0.743902,0.743902,0.734177,0.726316,0.559140,0.559140,0.558824,0.652174,0.636364,0.611111,0.632000,0.632000,0.632000,0.612403,0.612403,0.612403,0.612403
mutation_83,passing,0.996230,1.000000,0.990741,0.987805,0.987805,0.962025,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_84,passing,0.192905,0.373832,0.203704,0.243902,0.207317,0.151899,0.150538,0.185185,0.185185,0.193182,0.198347,0.212389,0.184874,0.171429,0.171429,0.171429,0.165138,0.165138,0.165138,0.165138
mutation_85,passing,0.995474,0.981308,0.981481,0.975610,0.975610,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_86,failing,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_88,passing,0.993500,0.981308,0.981481,0.975610,0.963415,0.974684,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_89,failing,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_90,failing,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_91,failing,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_93,passing,0.861201,0.953704,0.954128,0.963855,0.892857,0.887500,0.875000,0.753086,0.753086,0.693182,0.776860,0.852174,0.840336,0.878505,0.878505,0.878505,0.882883,0.882883,0.882883,0.882883
mutation_95,passing,0.884966,0.944444,0.944954,0.927711,0.891566,0.898734,0.903226,0.902439,0.902439,0.855556,0.894309,0.911504,0.879032,0.848214,0.848214,0.848214,0.853448,0.853448,0.853448,0.853448
mutation_96,passing,0.959308,0.981308,0.972222,0.963415,0.902439,0.886076,0.946237,0.950617,0.950617,0.954545,0.966942,0.973451,0.974790,0.971429,0.971429,0.971429,0.972477,0.972477,0.972477,0.972477
mutation_97,passing,0.459772,0.616822,0.444444,0.500000,0.475610,0.417722,0.387097,0.345679,0.345679,0.386364,0.438017,0.460177,0.487395,0.495238,0.495238,0.495238,0.486239,0.486239,0.486239,0.486239
mutation_98,failing,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_99,passing,0.953355,0.887850,0.888889,0.963855,0.927711,0.924051,0.946237,0.950617,0.950617,0.954545,0.966942,0.973451,0.974790,0.971429,0.971429,0.971429,0.972477,0.972477,0.972477,0.972477
mutation_100,passing,0.953355,0.887850,0.888889,0.963855,0.927711,0.924051,0.946237,0.950617,0.950617,0.954545,0.966942,0.973451,0.974790,0.971429,0.971429,0.971429,0.972477,0.972477,0.972477,0.972477
mutation_102,passing,0.189239,0.364486,0.203704,0.231707,0.207317,0.139241,0.139785,0.172840,0.172840,0.193182,0.198347,0.212389,0.184874,0.171429,0.171429,0.171429,0.165138,0.165138,0.165138,0.165138
mutation_103,passing,0.437510,0.598131,0.435185,0.487805,0.463415,0.468354,0.376344,0.407407,0.407407,0.420455,0.421488,0.415929,0.436975,0.428571,0.428571,0.428571,0.422018,0.422018,0.422018,0.422018
mutation_104,passing,0.791746,0.953271,0.953704,0.939024,0.831325,0.812500,0.797980,0.703704,0.703704,0.644444,0.739837,0.800000,0.751938,0.788136,0.788136,0.756098,0.769841,0.769841,0.769841,0.769841
mutation_105,failing,0.979867,0.981481,0.981651,0.975904,0.975904,0.975000,0.978723,0.975610,0.975610,0.977528,0.983607,0.982456,0.983333,0.981132,0.981132,0.981132,0.981818,0.981818,0.981818,0.981818
mutation_106,passing,0.734495,0.962617,0.962963,0.951220,0.903614,0.898734,0.892473,0.604938,0.604938,0.602273,0.619835,0.646018,0.655462,0.657143,0.657143,0.657143,0.669725,0.669725,0.669725,0.669725
mutation_107,passing,0.996230,1.000000,0.990741,0.987805,0.987805,0.962025,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_108,passing,0.953355,0.887850,0.888889,0.963855,0.927711,0.924051,0.946237,0.950617,0.950617,0.954545,0.966942,0.973451,0.974790,0.971429,0.971429,0.971429,0.972477,0.972477,0.972477,0.972477
